PTC Loader version 1.6.5_TEST2
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:403| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:406| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:409| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:529| TCP-ULP file Request pkt
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:532| TCP file request received from IP address: 10.255.255.11
MSG| Description        | 2015-10-15 06:49:39:534| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:39:537| linux
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:540| SendFileInfo Name:app.brake_test_mgr.zpkg
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:543| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:546| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:550| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:552| SendFileData
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:556| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:619| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:622| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:39:624| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:39:627| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:629| SendFileInfo Name:app.ui_menu_mgr.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:633| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:636| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:640| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:643| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:648| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:651| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:654| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:759| TCP-ULP file Request pkt
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:762| TCP file request received from IP address: 10.255.255.11
MSG| Description        | 2015-10-15 06:49:39:764| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:39:767| linux
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:769| SendFileInfo Name:app.braking_prediction.zpkg
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:816| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:819| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:824| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:827| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:831| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:835| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:839| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:842| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:847| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:850| SendFileData
